,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Berlin,Berlin,LOC,0.09550471,0.05761117,de,205.40000000,4005728-8,2950159,P,52.52437000,13.41053000,EUROPE,Germany,WCE
Glatteis,Glatteis,LOC,-0.10305864,0.09546074,de,171.10000000,,0,,,,,,
Deutschland,Deutschland,LOC,-0.05290508,0.08953168,de,133.10000000,4011882-4,2921044,A,51.50000000,10.50000000,EUROPE,Germany,WCE
Brandenburg,Brandenburg,LOC,0.01331651,0.03364172,de,118.90000000,4007955-7,2945356,A,52.45905000,13.01582000,EUROPE,Germany,WCE
Bayern,Bayern,LOC,-0.02107280,0.05747126,de,87.00000000,4005044-0,2951839,A,49.00000000,11.50000000,EUROPE,Germany,WCE
Deutschlands,Deutschlands,LOC,-0.17253521,0.09725017,de,49.70000000,,0,,,,,,
Hessen,Hessen,LOC,-0.08144796,0.00000000,de,44.20000000,4024729-6,2905330,A,50.55000000,9.00000000,EUROPE,Germany,WCE
Niedersachsen,Niedersachsen,LOC,0.07556675,0.03778338,de,39.70000000,4042226-4,2862926,A,52.83333000,9.16667000,EUROPE,Germany,WCE
NRW,NRW,LOC,-0.00833333,0.00900901,de,37.00000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
Schnee,Schnee,LOC,0.10174419,0.00000000,de,34.40000000,,2837468,T,50.72938000,8.54329000,EUROPE,Germany,WCE
Rheinland-Pfalz,Rheinland-Pfalz,LOC,-0.24974359,0.00000000,de,32.50000000,4049795-1,2847618,A,49.66667000,7.50000000,EUROPE,Germany,WCE
Saarland,Saarland,LOC,-0.25663206,0.00000000,de,28.90000000,4076919-7,2842635,A,49.40472000,6.96083000,EUROPE,Germany,WCE
Hamburg,Hamburg,LOC,-0.08035714,0.00000000,de,28.00000000,4239189-1,2911298,P,53.55073000,9.99302000,EUROPE,Germany,NEU
Bremen,Bremen,LOC,0.00738007,0.01845018,de,27.10000000,4090044-7,2944388,P,53.07582000,8.80717000,EUROPE,Germany,NEU
Nordrhein-Westfalen,Nordrhein-Westfalen,LOC,0.16267943,0.06379585,de,20.90000000,4031483-2,2886242,P,50.93333000,6.95000000,EUROPE,Germany,WCE
