,phrase,label,sentiment,subjectivity,language,count,geonames,geotype,latitude,longitude,country,ipcc
"Link
","Link
",MISC,,,de,40,,,,,,
“,“,MISC,0.0,1.0,de,17,,,,,,
Wetter“,Wetter“,MISC,,,de,8,,,,,,
Münchner,Münchner,MISC,,,de,6,,,,,,
Zeit,Zeit,MISC,,,de,4,,,,,,
Ballermann-Saison,Ballermann-Saison,MISC,,,de,4,,,,,,
Berliner,Berliner,MISC,,,de,4,,,,,,
Deutsche,Deutsche,MISC,,,de,3,,,,,,
Ski-Saison,Ski-Saison,MISC,,,de,2,,,,,,
Loop One Festival,Loop One Festival,MISC,,,de,2,,,,,,
Englisch,Englisch,MISC,,,de,2,,,,,,
MagentaTV,MagentaTV,MISC,,,de,2,,,,,,
Sturm und Schnee,Sturm und Schnee,MISC,,,de,2,,,,,,
Skisaison,Skisaison,MISC,,,de,2,,,,,,
Das Verschwinden des Josef Mengele,Das Verschwinden des Josef Mengele,MISC,,,de,2,,,,,,
Kriegsbeginn,Kriegsbeginn,MISC,,,de,2,,,,,,
Ballermann,Ballermann,MISC,0.7,0.0,de,2,,,,,,
Joshua“,Joshua“,MISC,,,de,2,,,,,,
Schnee- und Wintersport-Fans,Schnee- und Wintersport-Fans,MISC,,,de,2,,,,,,
Corona-Zeit,Corona-Zeit,MISC,,,de,2,,,,,,
Schulen“,Schulen“,MISC,,,de,2,,,,,,
Urlaubs-Express,Urlaubs-Express,MISC,,,de,2,,,,,,
minus 1 Grad,minus 1 Grad,MISC,,,de,2,,,,,,
Deutschen,Deutschen,MISC,,,de,2,,,,,,
Freistaat,Freistaat,MISC,-0.2333333333333333,0.0,de,2,,,,,,
Frühlingshafte Temperaturen,Frühlingshafte Temperaturen,MISC,,,de,2,,,,,,
Freitagnachmittag bei Schwarzenberg,Freitagnachmittag bei Schwarzenberg,MISC,,,de,2,,,,,,
TTS Player,TTS Player,MISC,,,de,2,,,,,,
